idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46
71,어린왕자,2015.12.23,"3,195,586,794",0.20%,"428,855",494,"8,384",프랑스,프랑스,씨네그루(주)다우기술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,무뢰한,2015.5.27,"3,262,207,431",0.20%,"414,641",482,"23,660",한국,한국,CGV아트하우스, 오승욱,, 전도연, 김남길, 박성웅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,판타스틱 4,2015.8.20,"3,029,310,600",0.20%,"399,667",451,"16,241",미국,미국,이십세기폭스코리아(주), 팀 스토리,, 이안 그루퍼드, 제시카 알바, 크리스 에반스, 마이클 치클리스, 줄리안 맥마혼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,뽀로로 극장판 컴퓨터 왕국 대모험,2015.12.10,"2,902,090,600",0.20%,"391,760",544,"10,893",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 박영균,, 이선, 이미자, 함수정, 홍소영, 정미숙, 김서영, 김환진, 엄상현,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,내 심장을 쏴라,2015.1.28,"2,856,859,132",0.20%,"387,409",452,"20,042",한국,한국,"(주)리틀빅픽쳐스,(주)이수C&E", 문제용,, 이민기, 여진구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,소수의견,2015.6.24,"2,892,681,205",0.20%,"383,582",398,"16,273",한국,한국,(주)시네마서비스, 김성제,, 윤계상, 유해진, 김옥빈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,그레이의 50가지 그림자,2015.2.26,"2,918,598,796",0.20%,"364,415",512,"19,227",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 제임스 폴리,, 다코타 존슨, 제이미 도넌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,홈,2015.5.21,"2,693,335,391",0.20%,"360,742",532,"10,484",미국,미국,(주)씨제이이엔엠, 김종우,, 이효제, 허준석, 임태풍, 김하나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,경성학교: 사라진 소녀들,2015.6.18,"2,749,609,100",0.20%,"356,415",489,"18,520",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 이해영,, 박보영, 엄지원, 박소담,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,치외법권,2015.8.27,"2,664,941,005",0.20%,"346,483",446,"15,297",한국,한국,판씨네마(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,아메리칸 스나이퍼,2015.1.14,"2,800,001,438",0.20%,"344,766",308,"10,769",미국,미국,워너브러더스 코리아(주), 클린트 이스트우드,, 브래들리 쿠퍼, 시에나 밀러, 제이크 맥더맨, 카일 갈너, 루크 그림즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,에베레스트,2015.9.24,"3,055,119,748",0.20%,"332,180",331,"9,343",미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,호빗: 다섯 군대 전투,2014.12.17,"2,840,004,341",0.20%,"326,887",350,"7,347",미국,"미국,뉴질랜드",워너브러더스 코리아(주), 피터 잭슨,, 마틴 프리먼, 이안 맥켈런, 리처드 아미티지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,스폰지밥 3D,2015.2.18,"2,458,946,200",0.10%,"325,016",357,"8,415",미국,미국,(주)씨제이이엔엠, 폴 티비트,, 전태열, 이인성, 안토니오 반데라스, 클랜시 브라운,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,극적인 하룻밤,2015.12.3,"2,610,567,429",0.20%,"320,884",434,"18,332",한국,한국,CGV아트하우스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,뮨: 달의 요정,2015.9.24,"2,333,203,700",0.10%,"319,384",365,"6,895",프랑스,프랑스,"(주)스마일이엔티,씨네그루(주)다우기술", 알렉상드르 헤보얀, 베노이트 필립폰, 조슈아 J. 발라드, 오마 사이, 트레버 드볼, 페오도르 아킨, 마이클 돕슨, 니콜 프로보스트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,도리화가,2015.11.25,"2,246,950,339",0.10%,"317,505",563,"19,168",한국,한국,(주)씨제이이엔엠, 이종필,, 류승룡, 수지, 송새벽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,이터널 선샤인,2005.11.10,"2,581,017,592",0.20%,"315,447",108,"8,891",미국,미국,"(주)노바미디어,코리아픽쳐스(주)", 미셸 공드리,, 짐 캐리, 케이트 윈슬렛, 커스틴 던스트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,주피터 어센딩,2015.2.5,"2,687,549,879",0.20%,"309,842",561,"16,454",미국,미국,워너브러더스 코리아(주), 라나 워쇼스키, 릴리 워쇼스키, 밀라 쿠니스, 채닝 테이텀, 숀 빈, 에디 레드메인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,패딩턴,2015.1.7,"2,246,438,729",0.10%,"305,102",408,"9,738",영국,"영국,프랑스,캐나다",롯데쇼핑㈜롯데엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,오즈의 마법사: 돌아온 도로시,2015.2.12,"2,176,416,000",0.10%,"298,482",330,"7,787",미국,미국,(주)박수엔터테인먼트, 윌 핀, 댄 세인트 피에르, 박지윤, 김하영, 신용우, 남도형, 레아 미셀, 패트릭 스튜어트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,런 올 나이트,2015.3.19,"2,293,671,495",0.10%,"289,534",411,"15,865",미국,미국,워너브러더스 코리아(주), 자움 콜렛 세라,, 리암 니슨, 조엘 킨나만, 에드 해리스, 커먼, 제네시스 로드리게스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,다이노 타임,2015.4.30,"2,108,596,800",0.10%,"284,900",430,"6,713",한국,"한국,미국",(주)씨제이이엔엠, 최윤석, 존 카프카, 멜라니 그리피스, 제인 린치, 윌리암 볼드윈, 스티븐 볼드윈, 롭 슈나이더, 파멜라 애들론, 타라 스트롱, 유리 로웬탈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,인서전트,2015.3.25,"2,158,449,889",0.10%,"282,662",480,"18,214",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 로베르트 슈벤트케,, 쉐일린 우들리, 테오 제임스, 케이트 윈슬렛, 나오미 왓츠, 매기 큐, 안셀 엘고트, 마일즈 텔러, 조니 웨스턴, 대니얼 대 킴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,백 투 더 비기닝,2015.2.26,"2,018,287,400",0.10%,"266,610",423,"13,839",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,투모로우랜드,2015.5.27,"2,083,283,000",0.10%,"265,810",435,"14,640",미국,미국,월트디즈니컴퍼니코리아(주), 브래드 버드,, 조지 클루니, 휴 로리, 브릿 로버트슨, 래피 캐시디,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,스파이 브릿지,2015.11.5,"2,049,608,478",0.10%,"264,872",425,"12,434",미국,미국,이십세기폭스코리아(주), 스티븐 스필버그,, 톰 행크스, 마크 라이런스, 오스틴 스토웰, 에이미 라이언,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,개를 훔치는 완벽한 방법,2014.12.31,"2,019,629,065",0.10%,"263,300",199,"8,008",한국,한국,"(주)리틀빅픽쳐스,(주)대명문화공장", 김성호,, 이레, 이지원, 홍은택, 김혜자, 최민수, 강혜정, 이천희, 개리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,함정,2015.9.10,"2,090,877,200",0.10%,"257,990",445,"10,899",한국,한국,(주)인벤트스톤, 권형진,, 마동석, 조한선, 김민경, 지안,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,2015.2.12,"1,885,543,600",0.10%,"257,381",187,"5,300",일본,일본,(주)씨제이이엔엠, 야마모토 야스이치로,, 김선혜, 강수진, 이현진, 이정구, 황원, 우정신, 한인숙, 정선혜, 여민정, 위훈, 박신희, 정재헌, 양정화, 타카야마 미나미, 야마구치 캇페이, 야마자키 와카나, 코야마 리키야, 타나카 카즈나리, 하야시바라 메구미, 타카기 와타루, 오오타니 이쿠에, 이와이 유키코, 카가와 테루유키,,,,,,,,,,,,,,,,,,,,,,,
101,언브로큰,2015.1.7,"1,997,947,292",0.10%,"256,475",401,"10,780",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 안젤리나 졸리,, 잭 오코넬, 도널 글리슨, 가렛 헤드룬드, 핀 위트록, 제이 코트니, 알렉스 러셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,소셜포비아,2015.3.12,"1,964,654,963",0.10%,"249,828",368,"15,161",한국,한국,CGV아트하우스, 홍석재,, 변요한, 이주승, 류준열, 하윤경, 유대형, 박근록, 오희준, 임지호, 김용준, 정재우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,하늘을 걷는 남자,2015.10.28,"2,267,273,653",0.10%,"238,257",415,"12,015",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 로버트 저메키스,, 조셉 고든 레빗, 벤 킹슬리, 샬롯 르 본, 제임스 뱃지 데일, 벤 슈와츠, 스티브 발렌타인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,2015.1.14,"1,653,084,000",0.10%,"233,347",360,"7,472",일본,일본,롯데쇼핑㈜롯데엔터테인먼트, 유야마 쿠니히코,, 조현정, 이선호, 마츠모토 리카, 오오타니 이쿠에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,조선마술사,2015.12.30,"1,506,449,794",0.10%,"224,657",596,"4,922",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 김대승,, 유승호, 고아라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,괴물의 아이,2015.11.25,"1,652,580,816",0.10%,"223,216",363,"10,487",일본,일본,"CGV아트하우스,(주)리틀빅픽쳐스", 호소다 마모루,, 야쿠쇼 코지, 미야자키 아오이, 소메타니 쇼타, 히로세 스즈, 야마지 카즈히로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,노아의 방주: 남겨진 녀석들,2015.4.30,"1,589,433,800",0.10%,"220,189",436,"5,422",독일,"독일,벨기에,룩셈부르크,아일랜드",씨네그루(주)다우기술, 토비 젠켈,, 김하영, 배진홍, 윤세웅, 전진아, 임채헌, 박상훈, 권문정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,언프렌디드: 친구삭제,2015.5.7,"1,645,623,941",0.10%,"219,892",386,"9,994",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 레반 가브리아제,, 헤더 소서맨, 쉘리 헨닝, 모세 제이콥 스톰, 윌 펠츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,연애의 맛,2015.5.7,"1,725,990,153",0.10%,"214,539",398,"12,474",한국,한국,"(주)와우픽쳐스,(주)쇼박스", 김아론,, 오지호, 강예원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015.12.23,"1,528,041,500",0.10%,"214,284",360,"4,271",일본,일본,(주)이수C&E, 유야마 쿠니히코,, 여민정, 이광수, 이선호, 마츠모토 리카, 오오타니 이쿠에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,버드맨,2015.3.5,"1,664,640,800",0.10%,"206,241",380,"12,051",미국,미국,이십세기폭스코리아(주), 알레한드로 곤잘레스 이냐리투,, 마이클 키튼, 에드워드 노튼, 엠마 스톤, 나오미 왓츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,기생수 파트1,2015.2.26,"1,543,346,126",0.10%,"187,291",247,"7,405",일본,일본,판씨네마(주), 야마자키 다카시,, 소메타니 쇼타, 아베 사다오, 후카츠 에리, 하시모토 아이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,더 셰프,2015.11.5,"1,482,518,148",0.10%,"186,511",409,"12,461",미국,미국,(주)이수C&E, 존 웰스,, 브래들리 쿠퍼, 시에나 밀러, 오마 사이, 엠마 톰슨, 우마 서먼, 다니엘 브륄, 매튜 리즈, 알리시아 비칸데르,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,팬,2015.10.8,"1,425,325,592",0.10%,"186,174",428,"8,994",미국,미국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,레전드,2015.12.10,"1,436,348,930",0.10%,"179,738",449,"9,991",프랑스,"프랑스,영국",(주)이수C&E, 브라이언 헬겔랜드,, 톰 하디, 태런 에저튼, 에밀리 브라우닝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,인터스텔라,2014.11.6,"1,699,965,700",0.10%,"178,527",109,"2,898",미국,"미국,영국",워너브러더스 코리아(주), 크리스토퍼 놀란,, 매튜 맥커너히, 앤 해서웨이, 마이클 케인, 제시카 차스테인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,19곰 테드 2,2015.6.25,"1,378,084,400",0.10%,"170,647",297,"7,147",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 세스 맥팔레인,, 마크 월버그, 아만다 사이프리드, 세스 맥팔레인, 리암 니슨, 모건 프리먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,아메리칸 울트라,2015.8.27,"1,301,387,295",0.10%,"161,382",341,"8,634",미국,미국,(주)씨제이이엔엠, 니마 누리자데,, 제시 아이젠버그, 크리스틴 스튜어트, 코니 브리튼, 토퍼 그레이스, 월튼 고긴스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,트랜스포터: 리퓰드,2015.10.15,"1,263,319,115",0.10%,"161,245",432,"10,083",프랑스,"프랑스,중국",씨네그루(주)다우기술, 카밀 들라마레,, 에드 스크레인, 론 샤바놀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,내부자들: 디 오리지널,2015.12.31,"1,236,787,715",0.10%,"160,148",595,"1,540",한국,한국,(주)쇼박스, 우민호,, 이병헌, 조승우, 백윤식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,센과 치히로의 행방불명,2002.6.27,"1,255,442,529",0.10%,"159,282",339,"6,434",일본,일본,씨네그루(주)다우기술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,스누피: 더 피너츠 무비,2015.12.24,"1,194,012,100",0.10%,"156,376",348,"3,572",미국,미국,이십세기폭스코리아(주), 스티브 마티노,, 빌 멜렌데즈, 노아 스납,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,최강전사 미니특공대 : 새로운 악당의 습격,2015.2.5,"1,171,479,200",0.10%,"155,348",318,"4,610",한국,한국,에이원엔터테인먼트, 이영준,, 엄상현, 전태열, 신용우, 이소영, 성완경, 양정화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,아메리칸 셰프,2015.1.7,"1,245,833,929",0.10%,"152,508",111,"4,879",미국,미국,(주)영화사 진진, 존 파브로,, 존 파브로, 엠제이 안소니, 소피아 베르가라, 스칼렛 요한슨, 더스틴 호프만, 로버트 다우니 주니어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,2015.4.23,"1,085,388,600",0.10%,"150,226",372,"5,097",일본,일본,(주)이수C&E, 타카하시 와타루,, 야지마 아키코, 나라하시 미키, 후지와라 케이지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,워킹걸,2015.1.7,"1,183,887,479",0.10%,"149,181",308,"7,076",한국,한국,메가박스중앙(주)플러스엠, 정범식,, 조여정, 클라라, 김태우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,은밀한 유혹,2015.6.4,"1,137,666,247",0.10%,"145,547",394,"14,968",한국,한국,(주)씨제이이엔엠, 윤재구,, 임수정, 유연석,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,우먼 인 골드,2015.7.9,"1,111,546,800",0.10%,"144,744",252,"5,801",미국,"미국,영국",(주)팝엔터테인먼트, 사이먼 커티스,, 헬렌 미렌, 라이언 레이놀즈, 다니엘 브륄, 타티아나 마슬라니, 케이티 홈즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,화장,2015.4.9,"1,073,035,100",0.10%,"142,382",327,"13,811",한국,한국,(주)리틀빅픽쳐스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,시카리오: 암살자의 도시,2015.12.3,"1,135,597,952",0.10%,"140,715",227,"6,220",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 드니 빌뇌브,, 에밀리 블런트, 베니시오 델 토로, 조슈 브롤린,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,워터 디바이너,2015.1.28,"1,008,818,235",0.10%,"136,134",326,"9,179",미국,"미국,호주,터키",롯데쇼핑㈜롯데엔터테인먼트, 러셀 크로우,, 러셀 크로우, 올가 쿠릴렌코, 제이 코트니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,나의 절친 악당들,2015.6.25,"1,054,470,664",0.10%,"133,553",384,"9,830",한국,한국,이십세기폭스코리아(주), 임상수,, 류승범, 고준희, 류현경, 샘 오취리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,심야식당,2015.6.18,"1,045,229,474",0.10%,"132,192",180,"5,779",일본,일본,(주)영화사 진진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,러브 라이브! 더 스쿨 아이돌 무비,2015.9.3,"985,069,000",0.10%,"130,223",66,"2,637",일본,일본,(주)박수엔터테인먼트, 쿄고쿠 타카히코,, 닛타 에미, 난죠 요시노, 우치다 아야, 미모리 스즈코, 이이다 리호, 파일, 쿠스다 아이나, 쿠보 유리카, 토쿠이 소라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,미라클 벨리에,2015.8.27,"929,076,518",0.10%,"121,827",245,"6,055",프랑스,프랑스,(주)영화사 진진, 에릭 라티고,, 루안 에머라, 카린 비아르, 프랑수아 다미앙, 에릭 엘모스니노,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,퇴마: 무녀굴,2015.8.20,"951,843,500",0.10%,"120,802",331,"6,463",한국,한국,씨네그루(주)다우기술, 김휘,, 김성균, 유선, 천호진, 차예련, 김혜성, 임화영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,눈의 여왕 2: 트롤의 마법거울,2014.12.24,"859,630,100",0.10%,"120,379",246,"2,660",러시아,러시아,씨네그루(주)다우기술, 알렉세이 트시칠린,, 벨라 손, 샬토 코플리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,존 윅,2015.1.21,"925,995,637",0.10%,"116,119",321,"6,653",미국,미국,"(주)제이앤씨미디어그룹,(주)나이너스엔터테인먼트",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,상의원,2014.12.24,"910,405,400",0.10%,"113,738",264,"3,315",한국,한국,"(주)쇼박스,(주)와우픽쳐스", 이원석,, 한석규, 고수, 박신혜, 유연석, 마동석,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,2015.9.17,"816,868,100",0.00%,"113,404",351,"3,522",일본,일본,(주)와우픽쳐스, 오오스기 요시히로,, 미즈타 와사비, 오오하라 메구미, 카카즈 유미, 키무라 스바루, 세키 토모카즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,스틸 앨리스,2015.4.29,"870,357,546",0.10%,"112,767",116,"4,963",미국,미국,그린나래미디어(주), 리처드 글랫저, 워시 웨스트모어랜드, 줄리안 무어, 알렉 볼드윈, 크리스틴 스튜어트, 케이트 보스워스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,셀프/리스,2015.9.10,"874,447,764",0.10%,"111,127",340,"6,785",미국,미국,(주)이수C&E, 타셈 싱,, 라이언 레이놀즈, 매튜 구드, 벤 킹슬리, 미셀 도커리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,맨 프롬 UNCLE,2015.10.28,"846,390,353",0.00%,"108,551",361,"7,169",미국,미국,워너브러더스 코리아(주), 가이 리치,, 헨리 카빌, 아미 해머, 알리시아 비칸데르, 엘리자베스 데비키, 휴 그랜트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
